"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"14";"A head-mounted display system and audio component for head-mounted display system";"R D SILVERFAST 
JAMES W VANDYKE 
JERMEY C FRANKLIN 
N D EVANS 
C T EWBANK";"APPLE INC";"CN211014859U";"2018-09-13";"G02B27/01 
H04R1/10";"G02B27/017 (EP,CN) 
G02B27/0176 (CN,US) 
G06T19/006 (CN,US) 
H04R1/028 (CN,US) 
H04R1/1041 (EP,CN) 
H04R1/105 (CN) 
H04R1/1066 (EP,CN) 
H04R1/1075 (EP,CN) 
H04R1/24 (CN) 
H04R3/04 (CN) 
H04R5/0335 (CN) 
H04R1/105 (EP) 
H04R1/24 (EP) 
H04R2499/15 (EP,CN,US) 
H04R3/04 (EP) 
H04R5/0335 (EP)";"2020-07-14";"2019-12-03";"067003623";
"15";"HEAD-MOUNTED DISPLAY HAVING AN IMAGE SENSOR ARRAY";"MENZEL JAN ROBERT [DE]";"NVIDIA CORP [US]";"US11388391B2 
US2021176452A1";"2019-11-11";"G06T11/00 
H04N13/282 
H04N13/324 
H04N13/344";"G06T11/00 (US) 
H04N13/243 (EP) 
H04N13/282 (EP,US) 
H04N13/324 (US) 
H04N13/344 (EP,US)";"2021-06-10 
2022-07-12";"2021-04-06";"075275567";
"16";"WEARABLE IMAGE MANIPULATION AND CONTROL SYSTEM WITH HIGH RESOLUTION MICRO-DISPLAYS AND DYNAMIC OPACITY AUGMENTATION IN AUGMENTED REALITY GLASSES";"FREEMAN MICHAEL HAYES [US] 
FREEMAN RICHARD C [US] 
FREEMAN MITCHAEL C [US] 
BOSS CHAD [US] 
BOSS JORDAN [US] 
SANTEE BRIAN [US] 
CARY DAVID [US]";"RAYTRX LLC [US]";"US12235445B2 
US2021389590A1";"2015-03-17";"G02B27/01 
G06F3/01 
G09G5/00 
G09G5/377";"G02B27/0172 (EP,US) 
G06F3/011 (EP) 
G06F3/013 (EP,US) 
G09G5/003 (US) 
G09G5/377 (US) 
G02B2027/0118 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP) 
G09G2354/00 (EP,US) 
G09G5/003 (EP)";"2021-12-16 
2025-02-25";"2021-12-16";"078826521";
"17";"Desensitization data display method and device, intelligent wearable equipment and augmented reality glasses";"ZHAO HAO";"NIO SOFTWARE TECH SHANGHAI CO LTD";"CN116302275A 
CN116302275B";"2023-03-20";"G06F21/31 
G06F21/62 
G06F21/64 
G06F9/451";"G06F21/31 (CN) 
G06F21/6245 (CN) 
G06F21/64 (CN) 
G06F9/451 (CN)";"2023-06-23 
2025-12-16";"2023-06-23";"086801053";
"18";"WEARABLE IMAGE MANIPULATION AND CONTROL SYSTEM WITH MICRO-DISPLAYS AND AUGMENTATION OF VISION AND SENSING IN AUGMENTED REALITY GLASSES";"FREEMAN MICHAEL HAYES [US] 
FREEMAN MITCHAEL C [US] 
BOSS JORDAN [US] 
FREEMAN BRIG GEN RICHARD C 
BOSS CHAD";"RAYTRX LLC [US]";"WO2020014705A1";"2018-07-13";"G06T15/04 
G06T19/00 
H04N13/332 
H04N13/363";"G06F3/013 (EP) 
H04N13/332 (EP)";"2020-01-16";"2020-01-16";"069143172";
"19";"WEARABLE IMAGE MANIPULATION AND CONTROL SYSTEM WITH HIGH RESOLUTION MICRO-DISPLAYS AND DYNAMIC OPACITY AUGMENTATION IN AUGMENTED REALITY GLASSES";"FREEMAN MICHAEL HAYES [US] 
FREEMAN MITCHAEL C [US] 
BOSS JORDAN [US] 
SANTEE BRIAN [US] 
CARY DAVID [US] 
FREEMAN BRIG GEN RICHARD C 
BOSS CHAD";"RAYTRX LLC [US]";"WO2020014707A1";"2018-07-13";"G02B27/01";"G02B27/0172 (EP) 
G02B2027/0118 (EP) 
G02B2027/0132 (EP) 
G02B2027/0138 (EP) 
G02B2027/0187 (EP) 
G02B5/23 (EP)";"2020-01-16";"2020-01-16";"069142100";
"20";"SOUND OUTPUTTING APPARATUS, HEAD-MOUNTED DISPLAY, SOUND OUTPUTTING METHOD, AND PROGRAM";"MIYAZAKI YOSHIO [JP]";"SONY INTERACTIVE ENTERTAINMENT INC [JP]";"US11086587B2 
US2019324708A1";"2017-01-06";"G02B27/01 
G06F3/00 
G06F3/01 
G06F3/16 
G06T19/00";"G02B27/017 (US) 
G06F3/005 (US) 
G06F3/011 (EP,US) 
G06F3/013 (EP) 
G06F3/0346 (EP) 
G06F3/16 (US) 
G06F3/165 (EP) 
G06T19/006 (EP,US) 
G02B2027/0138 (EP) 
G02B2027/014 (EP,US)";"2019-10-24 
2021-08-10";"2018-07-12";"062791284";
"21";"SMART GLASSES WITH OUTWARD-FACING DISPLAY";"SMITH BRIAN ANTHONY [US] 
VAISH RAJAN [US]";"SNAP INC [US]";"US12437481B2 
US2021390784A1";"2020-06-15";"G06F3/0488 
G02B27/01 
G06T19/00 
G09G3/32 
G06F3/04886";"G02B27/0172 (EP,KR,US) 
G06F3/011 (EP,KR) 
G06F3/04886 (KR,US) 
G06F3/1423 (EP,KR) 
G06F3/147 (EP,KR) 
G06T19/006 (KR,US) 
G09G3/32 (KR,US) 
G02B2027/0138 (EP,KR,US) 
G02B2027/014 (EP) 
G02B2027/0141 (EP,KR,US) 
G02B2027/0178 (EP,KR) 
G06F2203/011 (EP,KR) 
G09G2354/00 (KR,US)";"2021-12-16 
2025-10-07";"2021-12-16";"076797128";
"22";"REMOTE WORK SUPPORT SYSTEM USING HEAD MOUNTED DISPLAY APPARATUS AND AUGMENTED REALITY";"LEE KANG HWI 
CHIWON CHOI 
LEE SEONG SU 
LEE JU HYEON 
SEO JUN YEONG 
YOUNGHEON BAE 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR102305405B1 
KR20200109201A";"2019-03-12";"G06K9/00 
G06Q10/10 
G06T19/00 
H04N13/332";"G06Q10/10 (KR) 
G06T19/006 (KR) 
G06V40/113 (KR) 
H04N13/332 (KR)";"2020-09-22 
2021-09-29";"2020-09-22";"072706829";
"23";"Augmented reality glasses";"ZHANG ZHIQIONG";"KOREX IND CO LTD";"CN206920723U";"2017-07-24";"G02B27/01";"";"2018-01-23";"2018-01-23";"061347969";
"24";"Method and devices of controlling application running and head-mounted display equipment";"XU MAOXIN 
LIU JIA";"BEIJING PICO TECH CO LTD";"CN107506026A";"2017-07-27";"G06F3/01";"G06F3/013 (CN)";"2017-12-22";"2017-12-22";"060690118";
"25";"Displaying Location-Based Rules on Augmented Reality Glasses";"BOSTICK JAMES E [US] 
GANCI JR  JOHN M [US] 
RAKSHIT SARBAJIT K [IN] 
TRIM CRAIG M [US]";"IBM [US]";"US10346991B2 
US2018276830A1";"2015-01-08";"G02B27/01 
G06T7/20";"G02B27/017 (EP,US) 
G06T7/20 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US)";"2018-09-27 
2019-07-09";"2016-07-14";"056367900";
"26";"AUGMENTED REALITY GLASSES SYSTEM";"SU KAI-HUNG [TW] 
TSAI TSUNG-HUNG [TW]";"ADAT TECH CO LTD [TW]";"US12386184B2 
US2024295741A1";"2023-03-01";"G02B27/00 
G02B27/01";"G02B27/0093 (EP,US) 
G02B27/01 (EP) 
G02B27/0101 (EP,US) 
G02B27/017 (EP) 
G02B27/0176 (EP,US) 
G06F3/0346 (GB) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP)";"2024-09-05 
2025-08-12";"2023-07-11";"088148639";
"27";"WEARABLE HEAD-MOUNTED DISPLAY AND CAMERA SYSTEM WITH MULTIPLE MODES";"SPIVACK NOVA T [US]";"ZAMBALA LLLP [US]";"US2015362733A1";"2014-06-13";"G02B27/01 
G06T19/00";"A63F13/211 (EP,US) 
A63F13/26 (EP,US) 
A63F13/53 (EP,US) 
A63F13/92 (EP,US) 
G02B27/017 (EP) 
G02B27/0172 (EP,US) 
G06F3/011 (EP) 
G06F3/016 (EP) 
G06F3/017 (EP) 
G06F3/0304 (EP) 
G02B2027/0123 (EP,US) 
G02B2027/0134 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0181 (EP)";"2015-12-17";"2015-12-17";"054836028";
"28";"A HEAD MOUNTED DISPLAY APPARATUS USING DISCOLORATION LENS AND ILLUMINATION SENSOR";"CHIWON CHOI 
YOUNGHEON BAE 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR20200095985A";"2019-02-01";"G02B27/01";"G02B27/0172 (KR) 
G02B27/0176 (KR) 
G02B2027/0118 (KR) 
G02B2027/014 (KR)";"2020-08-11";"2020-08-11";"072048245";
"29";"WEARABLE AUGMENTED REALITY HEAD MOUNTED DISPLAY DEVICE FOR PHONE CONTENT DISPLAY AND HEALTH MONITORING";"RAVINDRAN SOURABH [US] 
SHEIKH HAMID [US] 
POLLEY MICHAEL [US] 
YOO YOUNG-JUN [US]";"SAMSUNG ELECTRONICS CO LTD [KR]";"WO2019013409A1";"2017-07-10";"G02B27/01 
G06F3/01 
G06T19/00";"G02B27/017 (EP,KR) 
G06F1/163 (EP) 
G06F3/011 (EP) 
G06F3/012 (EP) 
G06F3/013 (KR) 
G06F3/015 (KR) 
G06F3/017 (EP) 
G06T15/20 (EP) 
G06T19/00 (EP) 
G06T19/006 (KR) 
G16H40/63 (EP) 
G02B2027/0138 (EP) 
G02B2027/014 (EP) 
G02B2027/0187 (EP)";"2019-01-17";"2019-01-17";"065002637";
"30";"Display method using devices and video images Wearable Smart glasses";"KIM MIN SUNG [KR] 
KIM JIN HWAN [KR] 
KIM MIN KYEONG [KR] 
HEO JUN HYEOCK [KR] 
KIM MIN SANG [KR] 
PARK HAN GYEOL [KR] 
JO DONG MIN [KR] 
PARK JEONG WON [KR] 
CHOO YOUNG CHAE [KR] 
JANG MIN JI [KR]";"DONGSEO TECHNOLOGY HEADQUTERS [KR] 
KYUNGNAM COLLEGE OF INFORMATION &TECHNOLOGY [KR]";"KR20180082729A";"2017-01-11";"G06F1/16 
G06T19/00";"G02B27/0101 (KR) 
G02B27/0176 (KR) 
G06F1/163 (KR) 
G06T19/006 (KR) 
G02B2027/0138 (KR) 
G02B2027/0178 (KR)";"2018-07-19";"2018-07-19";"063058471";
"31";"AUGMENTED REALITY HEAD-MOUNTED DISPLAY WITH EYE TRACKING FOR PUPIL STEERING";"LANMAN DOUGLAS ROBERT [US] 
KONRAD ROBERT [US] 
LI GANG [US]";"FACEBOOK TECH LLC [US]";"US11194167B2 
US2019361247A1";"2017-12-18";"G02B27/01 
G06F3/01 
G02B27/14 
G06F1/16 
G09G5/00";"G02B26/101 (EP) 
G02B26/105 (EP) 
G02B27/0093 (EP) 
G02B27/0172 (EP,US) 
G02B27/0179 (US) 
G06F1/163 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G02B2027/0178 (US) 
G02B2027/0187 (US)";"2019-11-28 
2021-12-07";"2019-06-20";"066815169";
"32";"Mixed Reality Head Mounted Display Device";"MENDOZA JONATHAN [US] 
STOPPER TOBY [US] 
HOFFMAN KEVIN [US] 
MORESCO IGNAZIO [US] 
YANG ALLEN [US]";"IMMEREX INC [US]";"US2018365900A1";"2017-06-20";"G02B27/00 
G02B27/01 
G06F3/01 
G06T19/00 
G09G3/00";"G02B27/0093 (EP,US) 
G02B27/017 (CN,US) 
G02B27/0172 (US) 
G02B27/0176 (EP,US) 
G06F1/163 (EP,US) 
G06F1/1635 (US) 
G06F1/1654 (US) 
G06F1/1679 (US) 
G06F1/1681 (US) 
G06F3/011 (EP,CN,US) 
G06F3/012 (EP,US) 
G06F3/016 (EP,US) 
G06T19/006 (US) 
G09G3/003 (US) 
G02B2027/0132 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/0156 (EP,US) 
G02B2027/0178 (US) 
G06F3/013 (EP,US)";"2018-12-20";"2018-12-20";"064658023";
"33";"HEAD MOUNTED DISPLAY WITH IRIS SCAN PROFILING";"PEREZ KATHRYN STONE [US] 
CROCCO JR BOB [US] 
LEWIS JOHN R [US] 
VAUGHT BEN [US] 
KIPMAN ALEX ABEN-ATHAR [US]";"PEREZ KATHRYN STONE [US] 
CROCCO JR BOB [US] 
LEWIS JOHN R [US] 
VAUGHT BEN [US] 
KIPMAN ALEX ABEN-ATHAR [US] 
MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2013169683A1 
US9202443B2";"2011-08-30";"G09G5/377 
G02B27/02 
G06F3/01 
G06K9/00 
G06K9/46";"G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G02B27/02 (US) 
G06F21/32 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP) 
G06F3/147 (EP,US) 
G06Q20/40145 (EP,US) 
G06V40/18 (EP,US) 
G06V40/193 (EP,US) 
G06V40/197 (EP,US) 
G09G3/001 (EP,US) 
G09G5/363 (EP,US) 
G09G5/377 (US) 
H04L63/0861 (EP,US) 
H04L9/0866 (EP,US) 
H04L9/3231 (EP,US) 
G02B2027/0134 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0159 (EP,US) 
G02B2027/0163 (EP,US) 
G06F2203/011 (US) 
G09G2320/0693 (EP,US) 
G09G2370/02 (EP,US) 
G09G2370/04 (EP,US)";"2013-07-04 
2015-12-01";"2013-03-07";"047757153";
"34";"CUSTOM MIXED REALITY SMART GLASSES AND SOFTWARE FOR VISION IMPAIRED USE";"CHERUKURI NICK [US]";"THIRDEYE GEN INC [US]";"US11353708B1 
US2022179209A1";"2020-12-07";"G02B27/01 
G06T19/00 
H04W4/80";"G02B27/0093 (EP) 
G02B27/0172 (EP,US) 
G06T19/006 (US) 
H04W4/38 (EP) 
H04W4/80 (EP,US) 
G02B2027/0138 (EP) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP)";"2022-06-09 
2022-06-07";"2022-06-07";"081849115";
"35";"ENHANCED READING WITH AR GLASSES";"GURGUL PIOTR [CH] 
ZAKRZEWSKI TOMASZ [CH]";"SNAP INC [US]";"US11861801B2 
US2023215107A1";"2021-12-30";"G06F3/01 
G06T19/00 
H04W4/80";"G02B27/0172 (EP,KR) 
G06F1/3203 (EP,KR) 
G06F1/3287 (EP) 
G06F3/011 (EP,KR) 
G06F3/013 (EP) 
G06F3/016 (EP) 
G06F3/017 (EP,KR,US) 
G06T19/006 (US) 
H04W4/80 (US) 
H04W52/0209 (EP) 
G02B2027/0138 (EP,KR) 
G02B2027/014 (EP,KR) 
G06F3/015 (EP) 
H04W4/80 (EP) 
Y02D10/00 (KR)";"2023-07-06 
2024-01-02";"2023-07-06";"086992045";
